vessel_name,owner,owner_address,vessel_type,flag,owner_location,home_port
DER YUH SHENG,"HSU, YUAN-CHIEH","No. 91, Yucheng 2nd St., Niaosong Dist., Kaohsiung City 833162 , Taiwan (R.O.C.)",Tuna longliner,TWN,"('Kaohsiung City 833162', None)","('Kaohsiung', None)"
YU SHUN,"HUNG, CHAO-TIEN","5F., No.174-2, Siwei 4th Rd., Lingya Dist., Kaohsiung City 80247, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Kaohsiung City 80247', None)","('Kaohsiung', None)"
JIN HWEI SHIANG,"CHUN WEI FISHERY CO., LTD.","Room 323, 3F., No.3, Yugang E. 2nd Rd., Cianjhen District, Kaohsiung City 80672, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Kaohsiung City 80672', None)","('Kaohsiung', None)"
JIN FONG SHUUN,"CHUN YO FISHERY CO., LTD.","Room 323, 3F., No.3, Yugang E. 2nd Rd., Cianjhen District, Kaohsiung City 80672, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Kaohsiung City 80672', None)","('Kaohsiung', None)"
YUN RUN 7,MAX STEP SHIPPING LIMITED,FLAT/RM 2102 21/F TIMES TOWER 928 CHEUNG SHA WAN ROADLAI CHI KOK KL HONG KONG.,Fish carrier,PAN,"(None, None)","('Panama', 'PAN')"
RRCS 17,RRCS Marine and Indistrial Development Corporation,"Banisil, Tambler, General Santos City, Philippines",Fish carrier,PHL,"('General Santos City', 'PHL')","('General Santos', 'PHL')"
TENOH MARU NO88,TAIYU GYOGYO KABUSHIKI KAISYA,"1, NAKAURA, AINAN-CHO, MINAMIUWA-GUNEHIME-KEN 798-4125 JAPAN",Purse seiner,JPN,"('AINAN-CHO', None)","('Ainan', 'JPN')"
KAISEI NO21,KAISEISUISAN KABUSHIKIKAISHA,7182-414 KAIGANDORI KARATSU-SHI SAGA-KEN,Purse seiner,JPN,"(None, None)","('Nagasaki', 'JPN')"
GENPUKU MARU NO31,TOYOGYOGYO KABUSHIKIKAISHA,"2-7-18,NARUTAKI,NAGASAKI-SHI,NAGASAKI,Japan",Purse seiner,JPN,"('NAGASAKI', 'JPN')","('Hirado', 'JPN')"
HOKUSHO MARU,HOKUBU MAKIAMI GYOGYO,"SANKAIDO BLD, 1-9-13,AKASAKA,MINATO-KU,TOKYO,JAPAN",Purse seiner,JPN,"('TOKYO', 'JPN')","('Iwaki', 'JPN')"
SUWA MARU NO1,KABUSHIKIKAISYA  SUYASHOUTEN,"4,ONAHAMA-AZA,SAKAE-CHO,ISAKI-SHI,FUKUSHIMA,JAPAN",Purse seiner,JPN,"('FUKUSHIMA', 'JPN')","('Iwaki', 'JPN')"
MARK ANTHONY-16,RLGFI CORPORATION,"BANISIL, TAMBLER, GENERAL SANTOS CITY, PHILIPPINES",Fish carrier,PHL,"('GENERAL SANTOS CITY', 'PHL')","('General Santos', 'PHL')"
NO202 DAE HWA,"DAEHAE FISHERIES CO.,LTD","SAEBYEOKSIJANG-GIL 35, SEO-GU, BUSAN, KOREA",Tuna longliner,KOR,"('BUSAN', None)","('Busan', None)"
PUTRA SUKSES MANDIRI 9,"BINTANG HARAPAN JAYA, PT.","Jl. WR. Supratman No. 116B, RT.005/RW.014, Panjang Wetan, Kec. Pekalongan Utara, Kota Pekalongan, Prov. Jawa Tengah",Purse seiner,IDN,"('Kota Pekalongan', None)","('Semarang', 'IDN')"
PUTRA SUKSES MANDIRI 2,"BINTANG HARAPAN JAYA, PT.","Jl. WR. Supratman No. 116B, RT.005/RW.014, Panjang Wetan, Kec. Pekalongan Utara, Kota Pekalongan, Prov. Jawa Tengah",Purse seiner,IDN,"('Kota Pekalongan', None)","('Semarang', 'IDN')"
BAO LUCKY,KINGFISHERS SHIPPING CO.LTD,"SUITE 13, FIRT FLOOR, OLIAJI TRADE CENTRE, FRANCIAS RACHEL, VICTORIA, MAHE REPUBLIC OF SEYCHELLE",Fish carrier,PAN,"('VICTORIA', None)","('Panama', 'PAN')"
SENTOSA - V,"BUDI SENTOSA ABADI, PT.","Taman Harapan Indah Blok L No. 7, RT.010/RW.007, Kel. Jelambar Baru, Kec. Grogol Petamburan, Kota Jakarta Barat",Purse seiner,IDN,"('Kec. Grogol Petamburan', None)","('Bagansiapiapi', 'IDN')"
SENTOSA III,"BUDI SENTOSA ABADI, PT.","Taman Harapan Indah Blok L No. 7, RT.010/RW.007, Kel. Jelambar Baru, Kec. Grogol Petamburan, Kota Jakarta Barat",Purse seiner,IDN,"('Kec. Grogol Petamburan', None)","('Bagansiapiapi', 'IDN')"
ELSPETH,TUDO Fisheries Co. Pty. Ltd.,"Fongafale Road, Alapi, Funafuti, Tuvalu",Tuna purse seiner,TUV,"('Funafuti', 'TUV')","('Funafuti', 'TUV')"
GUANG YUAN YU 336,"Guangdong Guangyuan Fishery Group Co., Ltd.","Room 1401,No.644 Tongfu Road East, Guangzhou, China",Longliner,CHN,"('Guangzhou', 'CHN')","('Guangzhou', 'CHN')"
YUAN LONG,"LIN, HUNG-CHUN","No. 87, Zhongshan Rd., Xinyuan Township, Pingtung County 932015 , Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 932015', None)","('Kaohsiung', None)"
NAT NAT VIII,Rell and Renn Fishing Corporation,"Banisil, Tambler, General Santos City",Fish carrier,PHL,"('Tambler', None)","('General Santos', 'PHL')"
DOLORES 873,"SOUTHERN TUNA SEA FISHING VENTURES, INC","RD Corporate Center, No. 96 Gov. M.C. Cuenco Avenue, Banilad, Cebu City, Philippines",Tuna purse seiner,PHL,"('Cebu City', 'PHL')","('General Santos', 'PHL')"
TS 2012-B,Trinity Homes Industrial Development Corporation (THIDCOR),"Spring Valley Compound, Tambler, General Santos City, Philippines",Fish carrier,PHL,"('General Santos City', 'PHL')","('General Santos', 'PHL')"
LB MAE-03,Trinity Home Industrial Development Corporation (THIDCOR),"Spring Valley Compound, Tambler, General Santos City, Philippines",Unknown abbreviation,PHL,"('General Santos City', 'PHL')","('General Santos', 'PHL')"
LB EBS-03,TRINITY HOME INDUSTRIAL DEVELOPMENT CORPORATION (THIDCOR),"SPRINGVALLEY COMPOUND, TAMBLER, GENERAL SANTOS CITY",Unknown abbreviation,PHL,"('TAMBLER', None)","('General Santos', 'PHL')"
NO5 TONINA,"DONGWON INDUSTRIES Co., Ltd","DONGWON INDUSTRIES CO., LTD. /68, Mabang-ro, Seocho-gu, Seoul, Korea",Tuna longliner,KOR,"('Seoul', None)","('Busan', None)"
JIH YU NO568,"JIH YU FISHERY CO.,LTD","11F.-3, No. 247, Minsheng 1st Rd., Xinxing Dist., Kaohsiung City 800, Taiwan (R.O.C.)",Tuna purse seiner,TWN,"('Kaohsiung City 800', None)","('Kaohsiung', None)"
TAISEI MARU NO24,"TAISEIMARU KAIUN KAISHA, LTD.","5-5 HON-MACHI ISE-SHI, MIE-KEN, JAPAN",Fish carrier,JPN,"('MIE-KEN', 'JPN')","('Ise', 'JPN')"
WEALTH OF THE SEAS-2,"CHL FISHING INDUSTRY, INC.","UNI-HUB BLDG., PENDATUN AVE., GENERAL SANTOS CITY, PHILIPPINES",Fish carrier,PHL,"('GENERAL SANTOS CITY', 'PHL')","('General Santos', 'PHL')"
MARK ANTHONY 17,RLGFI CORPORATION,"BANISIL, TAMBLER, GENERAL SANTOS CITY, PHILIPPINES",Fish carrier,PHL,"('GENERAL SANTOS CITY', 'PHL')","('General Santos', 'PHL')"
GERBERA-5,THUNNIDAE VENTURE CORPORATION,"SITIO CABU BRGY. BAWING GENERAL SANTOS CITY, PHILIPPINES",Unknown abbreviation,PHL,"('SITIO CABU BRGY. BAWING GENERAL SANTOS CITY', 'PHL')","('General Santos', 'PHL')"
LAUREN MARIE TAYLOR,TRANS-PACIFIC JOURNEY FISHING CORP.,"1094-A NORTH BAY BLVD., NAVOTAS CITY",Tuna purse seiner,PHL,"('1094-A NORTH BAY BLVD.', None)","('Manila', 'PHL')"
TPJ SCOUT 31,TRANS-PACIFIC JOURNEY FISHING CORP.,"1094-A NORTH BAY BLVD., NAVOTAS CITY",Unknown abbreviation,PHL,"('1094-A NORTH BAY BLVD.', None)","('Batangas/Luzon', 'PHL')"
SPARKLE-1,EUTHYNNUS VENTURE CORPORATION,"Purok Cabu, Bawing, General Santos City, Philippines",Unknown abbreviation,PHL,"('General Santos City', 'PHL')","('General Santos', 'PHL')"
ANIKA-1,EUTHYNNUS VENTURE CORPORATION,SITIO CABU BRGY. BAWING GENERAL SANTOS CITY,Fish carrier,PHL,"(None, None)","('General Santos', 'PHL')"
STO NINO-888,STO.  NINO AQUA FISHING VENTURE CORP.,"CABU, BAWING, GENERAL SANTOS CITY, PHILIPPINES",Fish carrier,PHL,"('GENERAL SANTOS CITY', 'PHL')","('General Santos', 'PHL')"
STO NINO-777,STO.  NINO AQUA FISHING VENTURE CORPORATION,"BO HALL, MAKAR, LABANGAL, General Santos City, Philippines",Purse seiner,PHL,"('General Santos City', 'PHL')","('General Santos', 'PHL')"
BERNADETTE MARIE,TRANS-PACIFIC JOURNEY FISHING CORP.,"1094-A North Bay Blvd., Navotas City, Metro Manila, Philippines",Fish carrier,PHL,"('Metro Manila', 'PHL')","('Manila', 'PHL')"
BELINDA,TRANS-PACIFIC JOURNEY FISHING CORP.,"1094-A North Bay Blvd., Navotas City",Tuna purse seiner,PHL,"('1094-A North Bay Blvd.', None)","('Manila', 'PHL')"
KOYO MARU,NATIONAL FISHERIES UNIVERSITY,"2-7-1,NAGATA HONMACHI,SHIMONOSEKI,YAMAGUCHI, JAPAN",Fishery research vessel,JPN,"('YAMAGUCHI', 'JPN')","('Shimonoseki', 'JPN')"
YUEI MARU,YUUEIMARU INC.,"583-2, OOAZA-HOSOSHIMA,HYUGA-SHI, MIYAZAKI,JAPAN",Tuna longliner,JPN,"('MIYAZAKI', 'JPN')","('Hyuga', 'JPN')"
SAGAMYOJIN MARU NO83,MYOJIN SUISAN KABUSHIKI KAISHA,"763,SAGA, KUROSHIO-CHO, HATA-GUN, KOCHI, JAPAN",Pole and line vessel,JPN,"('KOCHI', 'JPN')","('Kuroshio', 'JPN')"
CHYUAN YEOU TSAIR NO1,"CHEN, TIEN-TSAI","No.112, Gongzheng Rd., Xinyuan Township, Pingtung County 93248, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 93248', None)","('Kaohsiung', None)"
JIN HSING CHI NO3,"HORNG, FWU-JONG","No.23, Ln. 1, Heping Rd., Liuqiu Township, Pingtung County 929, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 929', None)","('Kaohsiung', None)"
LB SKY-8,EUTHYNNUS VENTURE CORPORATION,"SITIO CABU BRGY. BAWING General Santos City, Philippines",Unknown abbreviation,PHL,"('SITIO CABU BRGY. BAWING General Santos City', 'PHL')","('General Santos', 'PHL')"
GERBERA,STARCKI VENTURE CORPORATION,General Santos City,Unknown abbreviation,PHL,"(None, None)","('Manila', 'PHL')"
SUE MARU NO8,"Suematsu,Hidenobu","SUEMATSU BUILDING 301, 3-18-9, AKEBONO, NAHA-SHI, OKINAWA,JAPAN",Tuna longliner,JPN,"('OKINAWA', 'JPN')","('Naha', 'JPN')"
TAISEI MARU NO15,"TAISEIMARU KAIUN KAISHA,LTD.","5-5, HONMACHI, ISE, MIE, JAPAN",Fish carrier,JPN,"('MIE', 'JPN')","('Ise', 'JPN')"
MOKAI 5,SARL MOKAI,BP 11196 - 98709 Paea TAHITI,Tuna longliner,PYF,"(None, None)","('Papeete', 'PYF')"
SEA REEFER,HABITAT INTERNATIONAL CORP.,"4/F, 30 QUTANGXIA ROAD, SHINAN DISTRICT QINGDAO, P.R. CHINA",Fish carrier,PAN,"('SHINAN DISTRICT QINGDAO', None)","('Panama', 'PAN')"
KAILE 888,FRABELLE FISHING CORPORATION,"1051 NORTHBAY BOULEVARD SOUTH, CITY OF NAVOTAS, THIRD DISTRICT, NATIONAL CAPITAL REGION (NCR)",Purse seiner,PHL,"('THIRD DISTRICT', None)","('Manila', 'PHL')"
TUARANI,SCA TUANUI,BP 9069 - 98715 Papeete - Tahiti - PolynÃ©sie franÃ§aise,Tuna longliner,PYF,"(None, None)","('Papeete', 'PYF')"
FAI MANU III,SCA HOTU RAVA`AI,"SiÃ¨ge social : FAA&apos;A, Pk 6,200, CÃ´tÃ© Montagne- - BP : 60129 - 98702 FAA&apos;A CENTRE - TAHITI - P.F - TÃ©l:77 92 83",Tuna longliner,PYF,"('200', None)","('Papeete', 'PYF')"
TAMATIA,SCA TOA TAUTAI,Port de Peche Fare Ute - BP 6331-98702 Faa&apos;a Tahiti,Tuna longliner,PYF,"(None, None)","('Papeete', 'PYF')"
TUAHOA,SCA TUANUI,BP 9069 - 98715 Papeete - Tahiti - Polynésie française,Tuna longliner,PYF,"(None, None)","('Papeete', 'PYF')"
RAVA'AI NUI II,SC TAHITI NUI PECHE,Fare Ute - 98714 PAPEETE  - BP : 1619 - 98713 PAPEETE - RP  - Tel:50 41 01,Tuna longliner,PYF,"(None, None)","('Papeete', 'PYF')"
TE AITO,SC TE AITO RAVA'AI NUI,Siege social : UTUROA  - BP : 964 - 98713 PAPEETE  - Tel:78 60 32,Tuna longliner,PYF,"(None, None)","('Papeete', 'PYF')"
FETU,SARL FETU ARMEMENT,Papeete Motu Uta  - BP : 9015-98715 MOTU UTA  - Tel:77 78 76,Tuna longliner,PYF,"(None, None)","('Papeete', 'PYF')"
TUAMITI,SCA TUANUI,BP 9069 - 98715 Papeete - Tahiti - Polynesie francaise,Tuna longliner,PYF,"(None, None)","('Papeete', 'PYF')"
MEREANA 8,SCA MS PACIFIC LONGLINER 3,BP 13610 - 98717 PUNAAUIA,Tuna longliner,PYF,"(None, None)","('Papeete', 'PYF')"
MOOREA RAVA'AI VI,SCA MOOREA PECHE MR3-MR6,Marche de Paopao 98728 Moorea - BP 712 Maharepa,Tuna longliner,PYF,"(None, None)","('Papeete', 'PYF')"
TAGNI 3,SCA VAIANAHOA,Siege social : Fare Ute - Papeete - Polynesie Francaise  - BP : JP81 - 98711 PAEA - TAHITI - P.F  - Tel:78 69 45,Tuna longliner,PYF,"(None, None)","('Papeete', 'PYF')"
FETU TEA II,SARL FETU ARMEMENT,Papeete Motu Uta  - BP : 9015-98715 MOTU UTA  - Tel:77 78 76,Tuna longliner,PYF,"(None, None)","('Papeete', 'PYF')"
TUAHOTU,SCA TUANUI,BP 9069 - 98715 Papeete - Tahiti - Polynesie francaise,Tuna longliner,PYF,"(None, None)","('Papeete', 'PYF')"
VINI VINI X,SCA FISHING STAR,BP 6331 Faa'a 98702 Tahiti,Tuna longliner,PYF,"(None, None)","('Papeete', 'PYF')"
TAHITI NUI,SCA TOA RAVA'AI,Port de Peche Fare Ute - BP 6331-98702 Faa'a Tahiti,Tuna longliner,PYF,"(None, None)","('Papeete', 'PYF')"
BEATRICE-003,STO.NIÑO AQUA FISHING VENTURE CORP.,"CABU, BAWING GENERAL SANTOS CITY",Fish carrier,PHL,"('CABU', None)","('General Santos', 'PHL')"
STO NINO-138,STO.NIÑO AQUA FISHING VENTURE CORP,"CABU, BAWING General Santos City, Philippines",Purse seiner,PHL,"('BAWING General Santos City', 'PHL')","('General Santos', 'PHL')"
BEATRICE-01,STO.  NINO AQUA VENTURE CORPORATION,"Cabu, Bawing, General Santos City, Philippines",Fish carrier,PHL,"('General Santos City', 'PHL')","('General Santos', 'PHL')"
STO NINO-999,STO.  NINO AQUA FISHING VENTURE CORPORATION,"CABU, BAWING, GENERAL SANTOS CITY, PHILIPPINES",Fish carrier,PHL,"('GENERAL SANTOS CITY', 'PHL')","('General Santos', 'PHL')"
MARK EZEKIEL-03,STO. NINO AQUA FISHING VENTURE CORP.,"Cabu, Bawing, General Santos City",Fish carrier,PHL,"('Bawing', None)","('General Santos', 'PHL')"
QUEEN ELLICE,Q.T.I.,"Trust Company Complex, Ajeltake Road, Ajeltake, Majuro, Marshall Islands, MH96960",Tuna purse seiner,TUV,"('Marshall Islands', None)","('Funafuti', 'TUV')"
AOLANI,KD FISHERY LLC,"1135 N NIMITZ HWY, HONOLULU, HI 96817-4522, USA",Tuna longliner,USA,"('HI 96817-4522', None)","('Honolulu', None)"
HIKARI 1,"NEW POWER SHIP, S.A","C/O KYOEI KAIUN KAISHA, LTD. 5TH FLOOR, KINKAME BUILDING, 2-15, 1-CHOME, HIGASHI NIHONBASHI, CHUO-KU, TOKYO, 103-0004 JAPAN",Fish carrier,PAN,"('TOKYO', None)","('Panama', 'PAN')"
YI RONG NO6,"LEE, MING-TSUNG","No.307-26, Xingdong Rd., Donggang Township, Pingtung County 92841, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 92841', None)","('Kaohsiung', None)"
F/B L/B SAN FELIPE-91,"NH AGRO INDUSTRIAL, INC.","Banisil, Tambler, General Santos City",Unknown abbreviation,PHL,"('Tambler', None)","('General Santos', 'PHL')"
PIERE ANGELINE,"NH AGRO INDUSTRIAL, INC.","BANISIL, TAMBLER, GENERAL SANTOS CITY",Fish carrier,PHL,"('TAMBLER', None)","('General Santos', 'PHL')"
TPJ SCOUT 22,TRANS-PACIFIC JOURNEY FISHING CORPORATION,"1094-A NORTH BAY BLVD., NAVOTAS CITY, METRO MANILA, PHILIPPINES",Unknown abbreviation,PHL,"('METRO MANILA', 'PHL')","('Manila', 'PHL')"
TPJ SCOUT 32,TRANS-PACIFIC JOURNEY FISHING CORP.,"1094-A NORTH BAY BLVD., NAVOTAS CITY",Unknown abbreviation,PHL,"('1094-A NORTH BAY BLVD.', None)","('Batangas/Luzon', 'PHL')"
LB STO NINO-848,STO. NIÑO AQUA FISHING VENTURE CORPORATION,"PUROK DARUSSALAM, BAWING, GENERAL SANTOS CITY",Unknown abbreviation,PHL,"('BAWING', None)","('General Santos', 'PHL')"
BEATRICE-07,STO. NIÑO AQUA FISHING VENTURE CORPORATION,"Cabu Bawing, General Santos City",Fish carrier,PHL,"('Cabu Bawing', None)","('General Santos', 'PHL')"
SANJAYA - II,"SENTRAL BENOA UTAMA, PT.","Jl. Ikan Tuna IV (Pelabuhan Benoa) No. 18, Kel. Pedungan, Kec. Denpasar Selatan, Kota Denpasar, Prov. Bali",Purse seiner,IDN,"('Kota Denpasar', None)","('Semarang', 'IDN')"
LAURA ANN,LAURA ANN FISHERIES LLC,"PO BOX 235989, HONOLULU, HI 96823-3519, USA",Tuna longliner,USA,"('HI 96823-3519', None)","('Honolulu', None)"
ROWAN,CHARCA FISH XIII LLC,"775 E BLITHEDALE AVE PMB 149, MILL VALLEY, CA 94941-1554, USA",Troller,USA,"('CA 94941-1554', None)","('San Diego', None)"
FONG KUO NO889,"FONG KUO FISHERY CO.,LTD","Room 423,4F.,No.3 Yu Kang E. 2nd Rd., Chien Chen District, Kaohsiung City, 80672, Taiwan(R.O.C.)",Tuna purse seiner,TWN,"('80672', None)","('Kaohsiung', None)"
ESSIEN,"GLORY FISHERY CO.,LTD.","5F., No.139, Hou'an Rd., Qianzhen Dist., Kaohsiung City 806, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Kaohsiung City 806', None)","('Kaohsiung', None)"
HENG HONG 10,"ZHEJIANG HENGHONG SHIPPING CO., LTD","NO. 65-1 Free Trade Village, Qiandao Central Business District, Zhoushan City, (Zhejiang)Pilot Free Trade Zone, China",Fish carrier,CHN,"('(Zhejiang)Pilot Free Trade Zone', 'CHN')","('Zhoushan', 'CHN')"
SKY-12,STARCKI VENTURE CORPORATION,"Purok Cabu, Bawing, General Santos City",Unknown abbreviation,PHL,"('Bawing', None)","('General Santos', 'PHL')"
HOSHIN MARU NO62,"IKEDA SUISAN CO,LTD","370,ASHIZAKI, NYUZEN-MACHI, SHIMONIKAWA-GUN, TOYAMA, JAPAN",Tuna longliner,JPN,"('TOYAMA', 'JPN')","('Nyuzen', 'JPN')"
EHIME MARU,EHIME KEN,"4-4-2,ICHIBAN-CHO,MATSUYAMA-SHI,EHIME,JAPAN",Fishery research vessel,JPN,"('EHIME', 'JPN')","('Uwajima', 'JPN')"
SHOYO MARU,KAGAWA PREFECTURAL GVERNMENT TADOTSU HIGH SCHOOL,"1-1-82 SAKAE-MACHI, TADOTSU-CHO, NAKATADO-GUN, KAGAWA PREFECTURE, JAPAN",Fishery research vessel,JPN,"('KAGAWA PREFECTURE', 'JPN')","('Takamatsu', 'JPN')"
KINEI MARU NO37,KESENNUMA KANAE GYOGYO KABUSHIKI KAISHA,"502-1, MINATOMACHI, KESENNUMA-SHI, MIYAGI, JAPAN",Tuna longliner,JPN,"('MIYAGI', 'JPN')","('Kesennuma', 'JPN')"
LURONGYUANYUYUN 667,"Rongcheng Marine Fishery Co., Ltd.",Rongcheng Shandong,Fish carrier,CHN,"(None, None)","('Shidao', 'CHN')"
SEIN PHOENIX,"SEIN SHIPPING CO., LTD.","3RD FLOOR, 87, BAUMOE-RO 41-GIL, SEOCHO-GU, SEOUL, REPUBLIC OF KOREA",Fish carrier,KOR,"('SEOUL', None)","('Jeju', None)"
ZHONG SHUI 709,"CNFC OVERSEAS FISHERIES CO., LTD","NO.31, Minfeng Lane,Xicheng District,Beijing,China",Tuna longliner,CHN,"('Beijing', 'CHN')","('Yantai', 'CHN')"
ZHONG SHUI 758,"CNFC Overseas Fisheries Co., Ltd.","NO.31, MinfengLane, Xi Dan, Beijing, China",Longliner,CHN,"('Beijing', 'CHN')","('Yantai', 'CHN')"
SANJAYA - 26,"SENTRAL BENOA UTAMA, PT.","Jl. Ikan Tuna IV (Pelabuhan Benoa) No. 18, Kel. Pedungan, Kec. Denpasar Selatan, Kota Denpasar, Prov. Bali",Fish carrier,IDN,"('Kota Denpasar', None)","('Benoa, Bali', 'IDN')"
SANJAYA - 16,"SENTRAL BENOA UTAMA, PT.","Jl. Ikan Tuna IV (Pelabuhan Benoa) No. 18, Kel. Pedungan, Kec. Denpasar Selatan, Kota Denpasar, Prov. Bali",Purse seiner,IDN,"('Kota Denpasar', None)","('Benoa, Bali', 'IDN')"
SANJAYA - 12,"SENTRAL BENOA UTAMA, PT.","Jl. Ikan Tuna IV (Pelabuhan Benoa) No. 18, Kel. Pedungan, Kec. Denpasar Selatan, Kota Denpasar, Prov. Bali",Purse seiner,IDN,"('Kota Denpasar', None)","('Benoa, Bali', 'IDN')"
JASA MINA UTAMA - III,"SENTRAL BENOA UTAMA, PT.","Jl. Ikan Tuna IV (Pelabuhan Benoa) No. 18, Kel. Pedungan, Kec. Denpasar Selatan, Kota Denpasar, Prov. Bali",Purse seiner,IDN,"('Kota Denpasar', None)","('Semarang', 'IDN')"
BINTANG KEJORA NO 2,"SENTRAL BENOA UTAMA, PT.","Jl. Ikan Tuna IV (Pelabuhan Benoa) No. 18, Kel. Pedungan, Kec. Denpasar Selatan, Kota Denpasar, Prov. Bali",Handliner,IDN,"('Kota Denpasar', None)","('Benoa, Bali', 'IDN')"
FRIO CARIBIC,MARITIME VELVET S.A.,"VIA ESPANA 122, DELTA TOWER 14, CITY OF PANAMA, REPUBLIC OF PANAMA",Fish carrier,PAN,"('CITY OF PANAMA', None)","('Panama', 'PAN')"
BINTANG KEJORA NO 1,"SENTRAL BENOA UTAMA, PT.","Jl. Ikan Tuna IV (Pelabuhan Benoa) No. 18, Kel. Pedungan, Kec. Denpasar Selatan, Kota Denpasar, Prov. Bali",Handliner,IDN,"('Kota Denpasar', None)","('Benoa, Bali', 'IDN')"
MING TSAIR FA NO7,"SHEU, JHE-MING","No.45-6, Zhongshan Rd., Donggang Township, Pingtung County 92849, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 92849', None)","('Kaohsiung', None)"
MAAN YIH FENG NO16,LIANG JI PING,"No.74, Chaolong Rd., Donggang Township, Pingtung County 92844, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 92844', None)","('Kaohsiung', None)"
MAAN YIH FENG NO26,"LIANG, TZU-CHAN","No.22-1, Yanping Rd., Donggang Township, Pingtung County 928001, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 928001', None)","('Kaohsiung', None)"
MAAN YIH FENG NO266,LIANG JI PING,"No.74, Chaolong Rd., Donggang Township, Pingtung County 928, Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 928', None)","('Kaohsiung', None)"
JIN CHIN FU NO26,"DONG,TING-YING","No. 309, Dadong Rd., Donggang Township, Pingtung County 928011 , Taiwan (R.O.C.)",Tuna longliner,TWN,"('Pingtung County 928011', None)","('Kaohsiung', None)"
MYLO,SEALAND TRADING SERVICE CORPORATION,"MMG TOWER 23 rd FLOOR, AVENIDA DEL PACIFICO AND AVENIDAPASEO DEL MAR, COSTA DEL ESTE,, PANAMA CITY, REPUBLIC OFPANAMA",Fish carrier,PAN,"('PANAMA CITY', None)","('Panama', 'PAN')"
MIRACLE,TAIXIN FISHERY SINGAPORE PTE. LTD.,205A Punggol field #08-362 Singapore,Fish carrier,PAN,"(None, None)","('Panama', 'PAN')"
RANI JAYA - II,Fahrur Rozi,"Jl. Lebak Bulus II/10-A, RT.004/RW.004, Kel. Cilandak Barat, Kec. Cilandak, Kota Jakarta Selatan",Purse seiner,IDN,"('Kec. Cilandak', None)","('Cirebon (Tjeribon)', 'IDN')"
ORCA,ROMI,"KERTA DALEM MANSION C NO. 9, BR/LINK. KERTA DALEM, KEL. SIDAKARYA, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Purse seiner,IDN,"('KOTA DENPASAR', None)","('Cirebon (Tjeribon)', 'IDN')"
MARITIM JAYA MANDIRI 3,"MARITIM JAYA MANDIRI, PT.","KERTA DALEM MANSION C NO. 9, BR/LINK. KERTA DALEM, KEL. SIDAKARYA, KEC. DENPASAR SELATAN, KOTA DENPASAR",Purse seiner,IDN,"('KEC. DENPASAR SELATAN', None)","('Semarang', 'IDN')"
MARITIM JAYA MANDIRI 2,"MARITIM JAYA MANDIRI, PT.","KERTA DALEM MANSION C NO. 9, BR/LINK. KERTA DALEM, KEL. SIDAKARYA, KEC. DENPASAR SELATAN, KOTA DENPASAR",Purse seiner,IDN,"('KEC. DENPASAR SELATAN', None)","('Bagansiapiapi', 'IDN')"
MITRA JAYA MANDIRI 12,ROMI,"KERTA DALEM MANSION C NO. 9, BR/LINK. KERTA DALEM, KEL. SIDAKARYA, KEC. DENPASAR SELATAN, KOTA DENPASAR, PROV. BALI",Purse seiner,IDN,"('KOTA DENPASAR', None)","('Bagansiapiapi', 'IDN')"
BINTANG BAHAGIA 81,"Bintang Bahagia Bersinar, PT.","Jl. Ikan Tuna 3 No.3, Kel. Pedungan, Kec. Denpasar Selatan, Kota Denpasar, Prov. Bali",Purse seiner,IDN,"('Kota Denpasar', None)","('Bagansiapiapi', 'IDN')"
BINTANG BAHAGIA 28,"BINTANG BAHAGIA BERSINAR , PT.","Jl. Ikan Tuna 3 No.3, Kel. Pedungan, Kec. Denpasar Selatan, Kota Denpasar, Prov. Bali",Fish carrier,IDN,"('Kota Denpasar', None)","('Benoa, Bali', 'IDN')"
MARCEL JAYA - 18,Budi Suyanto,"Jalan Pluit Karang Permai II Blok N9U/59, Kel. Pluit, Kec. Penjaringan, Kota Jakarta Utara, Prov. DKI Jakarta",Purse seiner,IDN,"('Kota Jakarta Utara', None)","('Cirebon (Tjeribon)', 'IDN')"
LB STO NINO-832,STO.  NINO AQUA FISHING VENTURE CORPORATION,"Sitio Cabu, Bawing, General Santos City, Philippines",Unknown abbreviation,PHL,"('General Santos City', 'PHL')","('General Santos', 'PHL')"
STO NINO 178,STO. NIÑO AQUA FISHING VENTURE CORP.,"BO.HALL MAKAR, LABANGAL, GENERAL SANTOS CITY",Purse seiner,PHL,"('LABANGAL', None)","('General Santos', 'PHL')"
