original_address,new_address,owner_providence_state,owner_country,owner_latitude,owner_longitude
"1F., No. 17, Yugang N. 1st Rd., Qianzhen Dist., Kaohsiung City 806043 , Taiwan (R.O.C.)","1F., No. 17, Yugang N. 1st Rd., Qianzhen Dist., Kaohsiung City 806043",Kaohsiung City,TWN,22.61452,120.31616
"No.18, Ln. 117, Zhenhai Rd., Donggang Township, Pingtung County 928003, Taiwan (R.O.C.)","No.18, Ln. 117, Zhenhai Rd.","Donggang Township, Pingtung County",TWN,22.46667,120.45
"No.42-1, Jhonghua Rd., Liouciou Township, Pingtung County 929, Taiwan (R.O.C.)","No.42-1, Jhonghua Rd., Liouciou Township, Pingtung County 929",Pingtung County,TWN,22.1289,120.43125
"No.169-12, Fuxing Rd., Liuqiu Shiang, Pingtung County 92942, Taiwan(R.O.C)","No.169-12, Fuxing Rd., Liuqiu Shiang, Pingtung County 92942",Pingtung County,TWN,22.82176,120.38855
"No.169-11, Fuxing Rd., Liuqiu Township, Pingtung County 929002, Taiwan (R.O.C.)","No. 169-11, Fuxing Rd., Liuqiu Township, Pingtung County 929002",Pingtung County,TWN,22.3348,120.39242
"15F., No.301, Zhizhen Rd., Zuoying Dist., Kaohsiung City 813, Taiwan (R.O.C.)","15F., No.301, Zhizhen Rd., Zuoying Dist., Kaohsiung City 813","Kaohsiung City, Taiwan",TWN,22.70436,120.32723
"No. 88, Sanhe 1st Rd., Donggang Township, Pingtung County 928007 , Taiwan (R.O.C.)","No. 88, Sanhe 1st Rd., Donggang Township, Pingtung County 928007",Pingtung County,TWN,22.47472,120.4551
"No.42-1, Mingzhi Rd., Donggang Township, Pingtung County 92842, Taiwan (R.O.C.)","No.42-1, Mingzhi Rd., Donggang Township, Pingtung County 92842",Pingtung County,TWN,22.51139,120.44861
"15F., No.301, Zhizhen Rd., Zuoying Dist., Kaohsiung City 813002, Taiwan (R.O.C.)","15F., No.301, Zhizhen Rd., Zuoying Dist., Kaohsiung City 813002",Kaohsiung City / Taiwan,TWN,22.62937,120.27446
"No. 42-1, Mingzhi Rd., Donggang Township, Pingtung County 928, Taiwan (R.O.C.)","No. 42-1, Mingzhi Rd., Donggang Township, Pingtung County 928",Pingtung County,TWN,22.455,120.45417
"No. 7, Aly. 27, Ln. 507, Sec. 2, Zhongzheng Rd., Donggang Township, Pingtung County928010, Taiwan (R.O.C.)","No. 7, Aly. 27, Ln. 507, Sec. 2, Zhongzheng Rd., Donggang Township, Pingtung County",Pingtung,TWN,22.45833,120.44
"No.48, Yanping St., Gushan District, Kaohsiung City 804, Taiwan (R.O.C.)","No. 48, Yanping St.","Gushan District, Kaohsiung City 804",TWN,22.62944,120.28267
"No.60-1, Zhongxiao Rd., Liuqiu Township, Pingtung County 929, Taiwan (R.O.C.)","No.60-1, Zhongxiao Rd., Liuqiu Township, Pingtung County 929",Pingtung County,TWN,22.3215,120.38775
"1F.,No.23, Guangfu Rd., Xinyuan Township, Pingtung County 932014 , Taiwan (R.O.C.)","1F., No. 23, Guangfu Rd., Xinyuan Township, Pingtung County 932014",Pingtung County,TWN,22.5275,120.5065
"No. 17-10, Guangfu Rd., Xinyuan Township, Pingtung County 932014 , Taiwan (R.O.C.)","No. 17-10, Guangfu Rd., Xinyuan Township, Pingtung County 932014",Pingtung County,TWN,22.6269,120.53301
"No.96,Ren-ai Rd.,Liouciou Township,Pingtung County 92942,Taiwan","No. 96, Ren-ai Rd., Liouciou Township",Pingtung County,TWN,22.39,120.39
"No.23, Ln. 3, Zhongzheng Rd., Liuqiu Township, Pingtung County 92942, Taiwan (R.O.C.)","No.23, Ln. 3, Zhongzheng Rd., Liuqiu Township, Pingtung County 92942",Pingtung County,TWN,22.42,120.48
"No.13-1, Ln. 7, Sanmin Rd., Liuqiu Township, Pingtung County 92941, Taiwan","No.13-1, Ln. 7, Sanmin Rd.","Liuqiu Township, Pingtung County",TWN,22.3598,120.28675
"No. 41, Xinxing 3rd St., Donggang Township, Pingtung County 928006 , Taiwan (R.O.C.)","No. 41, Xinxing 3rd St., Donggang Township, Pingtung County 928006",Pingtung County,TWN,22.46111,120.45
"No. 15, Zhonghua Rd., Liuqiu Township, Pingtung County 929002 , Taiwan (R.O.C.)","No. 15, Zhonghua Rd., Liuqiu Township, Pingtung County 929002",Pingtung County,TWN,22.34856,120.44852
"No.98, Hefeng St., Qianzhen Dist., Kaohsiung City 80668, Taiwan","No.98, Hefeng St., Qianzhen Dist., Kaohsiung City 80668",Kaohsiung City / Taiwan,TWN,22.61278,120.29567
"No.98, Hefong St., Cianjhen Dist., Kaohsiung City 80668, Taiwan","No. 98, Hefong St., Cianjhen Dist., Kaohsiung City 80668",Kaohsiung City / Taiwan,TWN,22.61128,120.28374
"No.396, Xingdong Rd., Donggang Township, Pingtung County 928, Taiwan (R.O.C.)","No.396, Xingdong Rd., Donggang Township, Pingtung County 928",Pingtung County,TWN,22.47631,120.46029
"No.26, Yansin Rd., Sinyuan Township, Pingtung County 93248, Taiwan","No. 26, Yansin Rd.","Sinyuan Township, Pingtung County",TWN,22.20833,120.39
"No.35, Zhongshan Rd., Liuqiu Township, Pingtung County 92941, Taiwan (R.O.C.)","No.35, Zhongshan Rd., Liuqiu Township, Pingtung County 92941",Pingtung County,TWN,22.20417,120.39306
"No.26. Ln. 81, Shanban Rd., Liuqiu Township, Pingtung County 92942, Taiwan (R.O.C.)","No.26, Ln. 81, Shanban Rd.","Liuqiu Township, Pingtung County",TWN,22.31472,120.37312
"No.10, Ln. 38, Mingli Rd., Donggang Township, Pingtung County 92842, Taiwan","No.10, Ln. 38, Mingli Rd., Donggang Township, Pingtung County 92842",Pingtung County,TWN,22.34754,120.45539
"No. 4-18, Zhonghua Rd., Liuqiu Township, Pingtung County 929002 , Taiwan (R.O.C.)","No. 4-18, Zhonghua Rd., Liuqiu Township, Pingtung County 929002",Pingtung County,TWN,22.34,120.42944
"No.51, Lane 1, Jhongshan Rd.,Benfu village, liouciou Township, Pingtung County, Taiwan(R.O.C)","No.51, Lane 1, Jhongshan Rd., Benfu village, Liouciou Township, Pingtung County, Taiwan (R.O.C)",Pingtung County,TWN,23.29416,120.43064
"No.36-19, Zhenhai Rd., Donggang Township, Pingtung County 92845, Taiwan (R.O.C.)","No.36-19, Zhenhai Rd., Donggang Township, Pingtung County 92845",Pingtung County,TWN,22.4755,120.45333
"No.12, Ln. 16, Anyu Rd., Donggang Township, Pingtung County 92845, Taiwan (R.O.C.)","No.12, Ln. 16, Anyu Rd., Donggang Township, Pingtung County 92845",Pingtung County,TWN,22.433,120.459
"No. 9, Huanmei 3rd St., Donggang Township, Pingtung County 928010 , Taiwan (R.O.C.)","No. 9, Huanmei 3rd St., Donggang Township, Pingtung County 928010",Pingtung County,TWN,22.45198,120.44974
"No. 169-38, Fuxing Rd., Liuqiu Township, Pingtung County 929002 , Taiwan (R.O.C.)","No. 169-38, Fuxing Rd., Liuqiu Township, Pingtung County 929002",Pingtung County,TWN,23.27,120.455
"3F., No.3, Yugang E. 2nd Rd., Qianzhen Dist., Kaohsiung City 806, Taiwan (R.O.C.)","3F., No.3, Yugang E. 2nd Rd., Qianzhen Dist., Kaohsiung City 806, Taiwan (R.O.C.)",Kaohsiung City,TWN,22.5664,120.29433
"3F., No.3, Yugang E. 2nd Rd., Qianzhen Dist., Kaohsiung City 80672, Taiwan (R.O.C.)","3F., No.3, Yugang E. 2nd Rd., Qianzhen Dist., Kaohsiung City 80672 -- Kaohsiung City -- TWN -- 22.57730 -- 120.29681",,,,
"Rm.307,  3F. No.3, Yugang E.2nd Rd.,Qianzhen Dist., Kaohsiung City 80672, Taiwan (R.O.C.)","Rm.307, 3F, No.3, Yugang E.2nd Rd., Qianzhen Dist., Kaohsiung City 80672",Kaohsiung City,TWN,22.60342,120.28278
"No.282-7, Yanhai Rd., Donggang Township, Pingtung County 928, Taiwan (R.O.C.)","No.282-7, Yanhai Rd., Donggang Township, Pingtung County 928",Pingtung County,TWN,22.444063,120.458
"No.2-3, Zhongzheng Rd., Liuqiu Township, Pingtung County 92942, Taiwan(R.O.C.)","No.2-3, Zhongzheng Rd., Liuqiu Township, Pingtung County 92942",Pingtung County,TWN,22.3875,120.38972
"No.112, Gongzheng Rd., Xinyuan Township, Pingtung County 93248, Taiwan (R.O.C.)","No.112, Gongzheng Rd.","Xinyuan Township, Pingtung County",TWN,22.56667,120.655
"No. 112, Gongzheng Rd., Xinyuan Township, Pingtung County 932014 , Taiwan (R.O.C.)","No. 112, Gongzheng Rd., Xinyuan Township, Pingtung County 932014",Pingtung County,TWN,22.4822,120.57968
"No.79-7, Sanmin Rd., Liuqiu Township, Pingtung County 929, Taiwan (R.O.C.)","No.79-7, Sanmin Rd., Liuqiu Township, Pingtung County 929",Pingtung County,TWN,22.60833,120.4
"No. 50-2, Zhongxiao Rd., Liuqiu Township, Pingtung County 929002 , Taiwan (R.O.C.)","No. 50-2, Zhongxiao Rd., Liuqiu Township, Pingtung County 929002",Pingtung County,TWN,22.32,120.42
"No. 50, Mingli Rd., Donggang Township, Pingtung County 928004 , Taiwan (R.O.C.)","No. 50, Mingli Rd., Donggang Township, Pingtung County 928004",Pingtung County,TWN,22.50728,120.45384
"No.18,Lane 7, Sanmin Rd., Liouciou Township, Pingtung County 92941, Taiwan.","No. 18, Lane 7, Sanmin Rd., Liouciou Township, Pingtung County 92941",Pingtung,TWN,22.31345,120.52873
"No.39, Aly. 80, Ln. 100, Sec. 1, Zhongzheng Rd., Donggang Township, Pingtung County 928, Taiwan (R.O.C.)","No.39, Aly. 80, Ln. 100, Sec. 1, Zhongzheng Rd., Donggang Township, Pingtung County 928",Pingtung County,TWN,22.46635,120.46045
"No.40, Aly. 80, Ln. 100, Sec. 1, Jhongjheng Rd., Donggang Township, Pingtung County 928004, Taiwan (R.O.C.)","No.40, Aly. 80, Ln. 100, Sec. 1, Jhongjheng Rd., Donggang Township, Pingtung County 928004",Pingtung County,TWN,22.53617,120.45483
"No.40, Aly. 80, Ln. 100, Sec. 1, Zhongzheng Rd., Donggang Township, Pingtung County 92842, Taiwan (R.O.C.)","No.40, Aly. 80, Ln. 100, Sec. 1, Zhongzheng Rd., Donggang Township, Pingtung County 92842",Pingtung County,TWN,22.525,120.445
"No. 40, Aly. 80, Ln. 100, Sec. 1, Zhongzheng Rd., Donggang Township, Pingtung County  , Taiwan (R.O.C.)","No. 40, Aly. 80, Ln. 100, Sec. 1, Zhongzheng Rd., Donggang Township, Pingtung County",Pingtung County,TWN,22.41567,120.45523
"No.101, Yanhai Rd., Donggang Township, Pingtung County 92849, Taiwan (R.O.C.)","No.101, Yanhai Rd., Donggang Township, Pingtung County 92849",Pingtung County,TWN,22.47,120.46667
"No.46, Ren-ai Rd., Liouciou Township, Pingtung County 929, Taiwan","No. 46, Ren-ai Rd., Liouciou Township, Pingtung County 929",Pingtung County,TWN,22.76,120.41278
"5F., No.139, Hou'an Rd., Qianzhen Dist., Kaohsiung City 806, Taiwan (R.O.C.)","5F., No.139, Hou'an Rd., Qianzhen Dist., Kaohsiung City 806, Taiwan (R.O.C.)",Kaohsiung,TWN,22.61114,120.30313
"2F., No.3, Yugang E. 2nd Rd., Qianzhen Dist., Kaohsiung City 806, Taiwan (R.O.C.)","2F., No. 3, Yugang E. 2nd Rd., Qianzhen Dist., Kaohsiung City 806",Kaohsiung City,TWN,22.61028,120.28472
"No.4-4, Zhonghua Rd., Liuqiu Township, Pingtung County 92942, Taiwan (R.O.C.)","No.4-4, Zhonghua Rd., Liuqiu Township, Pingtung County 92942",Pingtung County,TWN,23.32783,120.44277
"No.77-2, Sanmin Rd., Liouciou Township, Pingtung County 929, Taiwan (R.O.C.)","No.77-2, Sanmin Rd., Liouciou Township, Pingtung County 929",Pingtung County,TWN,22.54206,120.24628
"Room 423,4F.,No.3 Yu Kang E. 2nd Rd., Chien Chen District, Kaohsiung City, 80672, Taiwan(R.O.C.)","Room 423, 4F., No. 3 Yu Kang E. 2nd Rd., Chien Chen District, Kaohsiung City, 80672",Kaohsiung City,TWN,22.61178,120.30852
"No. 204, Bo'ai St., Donggang Township, Pingtung County 928001 , Taiwan (R.O.C.)","No. 204, Bo'ai St., Donggang Township, Pingtung County 928001",Pingtung County,TWN,22.40876,120.46208
"No.60, Zhongzheng Rd., Liuqiu Township, Pingtung County 92942, Taiwan (R.O.C.)","No.60, Zhongzheng Rd., Liuqiu Township, Pingtung County 92942",Pingtung County,TWN,22.30955,120.39305
"No. 98, Hefeng St., Qianzhen Dist., Kaohsiung City 806040 , Taiwan (R.O.C.)","No. 98, Hefeng St., Qianzhen Dist., Kaohsiung City 806040",Kaohsiung City / Taiwan,TWN,22.61361,120.3175
"No. 53, Minzu Rd., Liuqiu Township, Pingtung County 929001 , Taiwan (R.O.C.)","No. 53, Minzu Rd., Liuqiu Township, Pingtung County 929001",Pingtung County,TWN,23.32625,119.63025
"No.53, Minzu Rd., Liouciou Township, Pingtung County 92941, Taiwan","No.53, Minzu Rd., Liouciou Township, Pingtung County 92941",Pingtung County,TWN,23.26277,120.39694
"No. 93-9, Bo'ai St., Donggang Township, Pingtung County 928002 , Taiwan (R.O.C.)","No. 93-9, Bo'ai St., Donggang Township, Pingtung County 928002",Pingtung County,TWN,22.475,120.44833
"No.11, Ln. 8, Mingde 2nd St., Donggang Township, Pingtung County 92842, Taiwan (R.O.C.)","No.11, Ln. 8, Mingde 2nd St., Donggang Township, Pingtung County 92842",Pingtung,TWN,22.42978,120.45582
"No. 48, Zhongzheng Rd., Liuqiu Township, Pingtung County 929002 , Taiwan (R.O.C.)","No. 48, Zhongzheng Rd., Liuqiu Township, Pingtung County 929002",Pingtung County,TWN,22.35234,120.3993
"No.44-2, Heping Rd., Liouciou Township, Pingtung County 929, Taiwan (R.O.C.)","No.44-2, Heping Rd., Liouciou Township, Pingtung County 929",Pingtung County,TWN,22.005,120.48972
"No.44-2, Heping Rd., Liuqiu Township, Pingtung County 92942, Taiwan (R.O.C.)","No.44-2, Heping Rd., Liuqiu Township, Pingtung County 92942",Pingtung County,TWN,22.3631,120.38457
"No.222, Xinsheng 3rd Rd., Donggang Township, Pingtung County 92844, Taiwan (R.O.C.)","No.222, Xinsheng 3rd Rd.","Donggang Township, Pingtung County",TWN,22.46325,120.45588
"No.222, Xinsheng 3rd Rd., Donggang Township, Pingtung County 928, Taiwan (R.O.C.)","No.222, Xinsheng 3rd Rd., Donggang Township, Pingtung County 928",Pingtung County,TWN,22.43221,120.4547
"No. 50, Zhongxiao Rd., Liuqiu Township, Pingtung County 929002 , Taiwan (R.O.C.)","No. 50, Zhongxiao Rd., Liuqiu Township, Pingtung County 929002",Pingtung County,TWN,22.01849,120.41551
"No. 116, Bo'ai St., Donggang Township, Pingtung County 928001 , Taiwan (R.O.C.)","No. 116, Bo'ai St.","Donggang Township, Pingtung County",TWN,22.4403,120.4455
"13F., No. 2, Ln. 555, Dexian Rd., Nanzi Dist., Kaohsiung City 811610 , Taiwan (R.O.C.)","13F., No. 2, Ln. 555, Dexian Rd., Nanzi Dist., Kaohsiung City 811610",Kaohsiung,TWN,22.63417,120.30847
"No.153, Sanmin Rd., Liuqiu Township, Pingtung County 92943, Taiwan (R.O.C.)","No. 153, Sanmin Rd., Liuqiu Township, Pingtung County 92943 -- Pingtung County -- TWN -- 22.30235 -- 120.45790",,,,
"No.29,Chongming 1st.,Pingtung City,Pingtung County 90071,Taiwan","No.29, Chongming 1st., Pingtung City",Pingtung County,TWN,22.5086,120.48014
"No. 23, Ln. 133, Xinji St., Donggang Township, Pingtung County 928001, Taiwan (R.O.C.)","No. 23, Ln. 133, Xinji St., Donggang Township, Pingtung County 928001",Pingtung County,TWN,22.55667,120.4553
"No.82, Fuyu 3rd Rd., Donggang Township, Pingtung County 92845, Taiwan (R.O.C.)","No.82, Fuyu 3rd Rd., Donggang Township, Pingtung County 92845",Pingtung County,TWN,22.5,120.4
"No.6-4, Zhonghua Rd., Liuqiu Township, Pingtung County 92942, Taiwan (R.O.C.)","No.6-4, Zhonghua Rd., Liuqiu Township, Pingtung County 92942",Pingtung County,TWN,22.34223,120.38843
"No. 170, Fuyu 3rd Rd., Donggang Township, Pingtung County 928003 , Taiwan (R.O.C.)","No. 170, Fuyu 3rd Rd., Donggang Township, Pingtung County 928003",Pingtung County,TWN,22.52,120.45
"No.29-2, Binhai 2nd Rd., Gushan Dist., Kaohsiung City 80443, Taiwan (R.O.C.)","No.29-2, Binhai 2nd Rd., Gushan Dist., Kaohsiung City 80443",Kaohsiung City / Taiwan,TWN,22.61257,120.28758
"No.111, Zhongzheng Rd., Liuqiu Township, Pingtung County 92942, Taiwan (R.O.C.)","No. 111, Zhongzheng Rd., Liuqiu Township, Pingtung County 92942",Pingtung County,TWN,22.29738,120.35845
"Rm.319,3F.,No.3, Yugang E. 2nd Rd.,Qianzhen Dist., Kaohsiung City 806, Taiwan (R.O.C.)","Rm.319, 3F., No. 3, Yugang E. 2nd Rd., Qianzhen Dist., Kaohsiung City 806",Kaohsiung City,TWN,22.6016,120.30475
"Rm. 311, 3F., No.3, Yugang E. 2nd Rd., Cianjhen Dist., Kaohsiung City 80672, Taiwan","Rm. 311, 3F., No.3, Yugang E. 2nd Rd., Cianjhen Dist.","Kaohsiung City, Taiwan",TWN,22.615,120.3
"Rm. 311, 3F., No.3, Yugang E. 2nd Rd., Qianzhen Dist., Kaohsiung City 80672, Taiwan (R.O.C.)","Rm. 311, 3F., No. 3, Yugang E. 2nd Rd., Qianzhen Dist., Kaohsiung City 80672",Kaohsiung City,TWN,22.60926,120.28259
"No.3-1, Zhongxing Rd., Liuqiu Township, Pingtung County 92942, Taiwan","No.3-1, Zhongxing Rd., Liuqiu Township, Pingtung County 92942",Pingtung,TWN,22.25,120.41
"No.133-1, Sanmin Rd., Liouciou Township, Pingtung County 929, Taiwan","No.133-1, Sanmin Rd., Liouciou Township, Pingtung County 929",Pingtung County,TWN,22.27123,120.54534
"No.60, Jhongjheng Rd., Liouciou Township, Pingtung County 929, Taiwan (R.O.C.)","No.60, Jhongjheng Rd., Liouciou Township, Pingtung County 929",Pingtung County,TWN,23.33355,120.47425
"No.65, Yugang Rd., Qianzhen Dist., Kaohsiung City 806, Taiwan (R.O.C.)","No. 65, Yugang Rd., Qianzhen Dist., Kaohsiung City 806",Kaohsiung,TWN,22.625,120.30351
"No.196, Shiye Rd., Qianzhen Dist., Kaohsiung City 80672, Taiwan (R.O.C.)","No.196, Shiye Rd., Qianzhen Dist., Kaohsiung City 80672",Kaohsiung City / Taiwan (R.O.C.),TWN,22.611,120.30125
"1F., No. 4, Guangfu Rd., Xinyuan Township, Pingtung County 932014 , Taiwan (R.O.C.)","1F., No. 4, Guangfu Rd., Xinyuan Township, Pingtung County 932014",Pingtung County,TWN,22.66,120.40667
"No. 221-2, Sanmin Rd. Liuqiu Township, Pingtung County 929001 , Taiwan (R.O.C.)","No. 221-2, Sanmin Rd. Liuqiu Township, Pingtung County 929001",Pingtung,TWN,22.2377,120.38634
"No. 78, Chaolong Rd., Donggang Township, Pingtung County 928002 , Taiwan (R.O.C.)","No. 78, Chaolong Rd., Donggang Township, Pingtung County 928002",Pingtung County,TWN,22.4483,120.44588
"No.12, Lane 43, Anyu Rd., Jhenhai Village Donggang Township, Pingtung County Taiwan(R.O.C.)","No.12, Lane 43, Anyu Rd., Jhenhai Village Donggang Township, Pingtung County",Pingtung,TWN,22.50667,120.44278
"No. 6, Ln. 118, Jiayu St., Donggang Township, Pingtung County 928005 , Taiwan (R.O.C.)","No. 6, Ln. 118, Jiayu St., Donggang Township, Pingtung County 928005",Pingtung County,TWN,22.36296,120.45719
"No. 128-16, Ren''ai Rd., Liuqiu Township, Pingtung County 929002 , Taiwan (R.O.C.)","No. 128-16, Ren'ai Rd., Liuqiu Township, Pingtung County 929002",Pingtung County,TWN,22.11819,120.4465
"No.5, Aly. 9, Ln. 128, Jiasin Rd., Donggang Township, Pingtung County 92848, Taiwan","No.5, Aly. 9, Ln. 128, Jiasin Rd., Donggang Township, Pingtung County 92848",Pingtung County,TWN,22.42167,120.455
"4F., No.29-1, Tianlun St., Qianzhen Dist., Kaohsiung City 80666, Taiwan (R.O.C.)","4F., No.29-1, Tianlun St., Qianzhen Dist., Kaohsiung City 80666",Kaohsiung City,TWN,22.5908,120.30863
"No.211-6, Zhongzheng Rd., Liuqiu Township, Pingtung County 929, Taiwan (R.O.C.)","No.211-6, Zhongzheng Rd., Liuqiu Township, Pingtung County 929",Pingtung County,TWN,22.3281,120.3289
"11F.-3, No.247, Minsheng 1st Rd., Xinxing Dist., Kaohsiung City 80046, Taiwan","11F.-3, No.247, Minsheng 1st Rd., Xinxing Dist., Kaohsiung City 80046",Kaohsiung City,TWN,22.62888,120.30138
"11F.-3, No.247, Minsheng 1st Rd., Xinxing Dist., Kaohsiung City 80046, Taiwan (R.O.C.)","11F.-3, No.247, Minsheng 1st Rd., Xinxing Dist., Kaohsiung City 80046","Kaohsiung City, Kaohsiung",TWN,22.62389,120.30139
"No. 309, Dadong Rd., Donggang Township, Pingtung County 928011 , Taiwan (R.O.C.)","No. 309, Dadong Rd., Donggang Township, Pingtung County 928011",Pingtung County,TWN,22.531,120.455
"No. 82, Lizuo Rd., Linbian Township, Pingtung County ,Taiwan (R.O.C.)","No. 82, Lizuo Rd., Linbian Township, Pingtung County",Pingtung County,TWN,22.52917,120.56983
"No.20, Lane 1, Heping Rd., Liouciou Township, Pingtung Count 929, Taiwan (R.O.C.)","No.20, Lane 1, Heping Rd., Liouciou Township, Pingtung Count 929",Pingtung County,TWN,22.0922,120.5512
"No.54-1, Chaolong Rd., Donggang Township, Pingtung County 92844, Taiwan (R.O.C.)","No.54-1, Chaolong Rd., Donggang Township, Pingtung County 92844",Pingtung County,TWN,22.4137,120.44715
"No.36, Ln. 176, Nanzheng 2nd Rd., Fengshan Dist., Kaohsiung City 83085, Taiwan (R.O.C.)","No. 36, Ln. 176, Nanzheng 2nd Rd.","Fengshan Dist., Kaohsiung City 83085",TWN,22.595,120.35
"Room 323, 3F., No.3, Yugang E. 2nd Rd., Cianjhen District, Kaohsiung City 80672, Taiwan (R.O.C.)","Room 323, 3F., No.3, Yugang E. 2nd Rd., Cianjhen District, Kaohsiung City 80672, Taiwan (R.O.C.)",Kaohsiung City,TWN,22.61718,120.30936
"No.2-1, Fongyu Rd., Linbian Township, Pingtung County 927004, Taiwan (R.O.C.)","No.2-1, Fongyu Rd., Linbian Township, Pingtung County 927004",Pingtung,TWN,22.50799,120.56185
"No. 51-3, Minzu Rd., Liuqiu Township, Pingtung County 92941, Taiwan (R.O.C.)","No. 51-3, Minzu Rd., Liuqiu Township, Pingtung County 92941",Pingtung County,TWN,22.3561,120.37958
"No.20, Lane 1, Heping Rd., Liouciou Township, Pingtung County 929, Taiwan807, Taiwan","No.20, Lane 1, Heping Rd., Liouciou Township, Pingtung County 929, Taiwan",Pingtung County,TWN,22.15914,120.35443
"No.43, Heping St., Donggang Township, Pingtung County 928006, Taiwan (R.O.C)","No.43, Heping St., Donggang Township, Pingtung County 928006",Pingtung County,TWN,22.45557,120.44662
"No. 37, Chaoyang St., Donggang Township, Pingtung County 928006 , Taiwan (R.O.C.)","No. 37, Chaoyang St., Donggang Township, Pingtung County 928006",Pingtung County,TWN,22.47385,120.4512
"1F., No.58, Jiaxin 2nd St., Donggang Township, Pingtung County 92848, Taiwan (R.O.C.)","1F., No.58, Jiaxin 2nd St., Donggang Township, Pingtung County 92848",Pingtung County,TWN,22.46518,120.4521
"No. 137-5, Sanmin Rd., Liuqiu Township, Pingtung County 929003 , Taiwan (R.O.C.)","No. 137-5, Sanmin Rd., Liuqiu Township, Pingtung County 929003",Pingtung County,TWN,22.3253,120.44845
"No.58, Jiaxin 2nd St., Donggang Township, Pingtung County 928005, Taiwan (R.O.C.)","No.58, Jiaxin 2nd St., Donggang Township, Pingtung County 928005",Pingtung County,TWN,22.40694,120.44887
"No.3-2, Ren-ai Rd., Liouciou Township, Pingtung County 929002, Taiwan (R.O.C.)","No.3-2, Ren-ai Rd., Liouciou Township, Pingtung County 929002",Pingtung,TWN,22.46806,120.35472
"No.3-2, Ren’ai Rd., Liouciou Township, Pingtung County 929002, Taiwan (R.O.C.)","No.3-2, Ren’ai Rd., Liouciou Township, Pingtung County 929002","Pingtung, Taiwan",TWN,22.08,120.443
"No.3-1, Ren-ai Rd., Liouciou Township, Pingtung County 929002, Taiwan (R.O.C.)","No.3-1, Ren-ai Rd., Liouciou Township, Pingtung County 929002",Pingtung County,TWN,22.43824,120.34805
"No.91, Mingli Rd., Donggang Township, Pingtung County 928004, Taiwan (R.O.C.)","No.91, Mingli Rd., Donggang Township, Pingtung County 928004",Pingtung County,TWN,22.423,120.457
"No. 91, Mingli Rd., Donggang Township, Pingtung County 928, Taiwan (R.O.C.)","No. 91, Mingli Rd., Donggang Township, Pingtung County 928",Pingtung County,TWN,22.4,120.4
"No. 91, Mingli Rd., Donggang Township, Pingtung County 928004 , Taiwan (R.O.C.)","No. 91, Mingli Rd., Donggang Township, Pingtung County 928004",Pingtung County,TWN,22.28,120.45167
"No. 45, Liyu Rd., Linbian Township, Pingtung County 927004 , Taiwan (R.O.C.)","No. 45, Liyu Rd., Linbian Township, Pingtung County 927004",Pingtung County,TWN,22.36583,120.68472
"No.91, Mingli Rd., Donggang Township, Pingtung County 92842, Taiwan (R.O.C.)","No.91, Mingli Rd., Donggang Township, Pingtung County 92842",Pingtung County,TWN,22.2925,120.4467
"No.332, Mingli Rd., Donggang Township, Pingtung County 92842, Taiwan (R.O.C.)","No. 332, Mingli Rd., Donggang Township, Pingtung County 92842",Pingtung County,TWN,22.46501,120.44996
"2F., No. 102, Xing'an 2nd St., Donggang Township, Pingtung County 928011, Taiwan (R.O.C.)","2F., No. 102, Xing'an 2nd St., Donggang Township, Pingtung County 928011",Pingtung County,TWN,22.4581,120.48522
"No.41, Xinxing 3rd St., Donggang Township, Pingtung County 928, Taiwan (R.O.C.)","No. 41, Xinxing 3rd St., Donggang Township, Pingtung County 928",Pingtung County,TWN,22.46,120.455
"No.9, Ln.433, Xiabu Rd., Donggang Township, Pingtung County 92851, Taiwan (R.O.C.)","No.9, Ln.433, Xiabu Rd., Donggang Township, Pingtung County 92851",Pingtung County,TWN,22.47008,120.454
"No.20 Lane 1, Heping Rd., Liouciou Township, Pingtung County 929, Taiwan(R.O.C.)","No.20 Lane 1, Heping Rd., Liouciou Township, Pingtung County 929",Pingtung County,TWN,22.6153,120.575
"No. 11, Ln. 113, Houping Rd., Qianzhen Dist., Kaohsiung City 806039 , Taiwan (R.O.C.)","No. 11, Ln. 113, Houping Rd., Qianzhen Dist., Kaohsiung City 806039",Kaohsiung City,TWN,22.60484,120.30193
"No. 7, Zhongxing Rd., Liuqiu Township, Pingtung County 929002, Taiwan (R.O.C.)","No. 7, Zhongxing Rd., Liuqiu Township, Pingtung County 929002",Pingtung County,TWN,22.27222,120.45111
"No. 71, Sec. 1, Guangfu Rd., Donggang Township, Pingtung County 928007 , Taiwan (R.O.C.)","No. 71, Sec. 1, Guangfu Rd., Donggang Township, Pingtung County 928007",Pingtung County,TWN,22.47655,120.45599
"No.36, Ln. 176, Nanzheng 2nd Rd., Fengshan Dist., Kaohsiung City 830050, Taiwan (R.O.C.)","No.36, Ln. 176, Nanzheng 2nd Rd., Fengshan Dist.","Kaohsiung City, 830050",TWN,22.636,120.305
"No. 23, Ln. 1, Heping Rd. Liuqiu Township, Pingtung County 929002 , Taiwan (R.O.C.)","No. 23, Ln. 1, Heping Rd.","Liuqiu Township, Pingtung County",TWN,22.32889,120.3875
